date,cases,country,city
2021-05-15,79,Finland,Helsinki
2021-05-16,56,Finland,Helsinki
2021-05-17,119,Finland,Helsinki
2021-05-18,110,Finland,Helsinki
2021-05-19,113,Finland,Helsinki
2021-05-20,103,Finland,Helsinki
2021-05-21,85,Finland,Helsinki
2021-05-22,55,Finland,Helsinki
2021-05-23,54,Finland,Helsinki
2021-05-24,109,Finland,Helsinki
2021-05-25,86,Finland,Helsinki
2021-05-26,77,Finland,Helsinki
2021-05-27,56,Finland,Helsinki
2021-05-28,63,Finland,Helsinki
2021-05-29,28,Finland,Helsinki
2021-05-30,49,Finland,Helsinki
2021-05-31,98,Finland,Helsinki
2021-06-01,76,Finland,Helsinki
2021-06-02,68,Finland,Helsinki
2021-06-03,66,Finland,Helsinki
2021-06-04,63,Finland,Helsinki
2021-06-05,40,Finland,Helsinki
2021-06-06,41,Finland,Helsinki
2021-06-07,86,Finland,Helsinki
2021-06-08,55,Finland,Helsinki
2021-06-09,36,Finland,Helsinki
2021-06-10,31,Finland,Helsinki
2021-06-11,34,Finland,Helsinki
2021-06-12,36,Finland,Helsinki
2021-06-13,33,Finland,Helsinki
2021-06-14,38,Finland,Helsinki
2021-06-15,41,Finland,Helsinki
2021-06-16,35,Finland,Helsinki
2021-06-17,47,Finland,Helsinki
2021-06-18,33,Finland,Helsinki
2021-06-19,26,Finland,Helsinki
2021-06-20,40,Finland,Helsinki
2021-06-21,56,Finland,Helsinki
2021-06-22,66,Finland,Helsinki
2021-06-23,74,Finland,Helsinki
2021-06-24,93,Finland,Helsinki
2021-06-25,126,Finland,Helsinki
2021-06-26,81,Finland,Helsinki
2021-06-27,58,Finland,Helsinki
2021-06-28,115,Finland,Helsinki
2021-06-29,136,Finland,Helsinki
2021-06-30,83,Finland,Helsinki
2021-07-01,93,Finland,Helsinki
2021-07-02,76,Finland,Helsinki
2021-07-03,59,Finland,Helsinki
2021-07-04,59,Finland,Helsinki
2021-07-05,98,Finland,Helsinki
2021-07-06,134,Finland,Helsinki
2021-07-07,157,Finland,Helsinki
2021-07-08,158,Finland,Helsinki
2021-07-09,173,Finland,Helsinki
2021-07-10,92,Finland,Helsinki
2021-07-11,100,Finland,Helsinki
2021-07-12,191,Finland,Helsinki
2021-07-13,204,Finland,Helsinki
2021-07-14,227,Finland,Helsinki
2021-07-15,216,Finland,Helsinki
2021-07-16,208,Finland,Helsinki
2021-07-17,139,Finland,Helsinki
2021-07-18,136,Finland,Helsinki
2021-07-19,213,Finland,Helsinki
2021-07-20,242,Finland,Helsinki
2021-07-21,228,Finland,Helsinki
2021-07-22,211,Finland,Helsinki
2021-07-23,241,Finland,Helsinki
2021-07-24,172,Finland,Helsinki
2021-07-25,185,Finland,Helsinki
2021-07-26,410,Finland,Helsinki
2021-07-27,329,Finland,Helsinki
2021-07-28,412,Finland,Helsinki
2021-07-29,358,Finland,Helsinki
2021-07-30,317,Finland,Helsinki
2021-07-31,235,Finland,Helsinki
2021-08-01,274,Finland,Helsinki
2021-08-02,442,Finland,Helsinki
2021-08-03,439,Finland,Helsinki
2021-08-04,391,Finland,Helsinki
2021-08-05,372,Finland,Helsinki
2021-08-06,324,Finland,Helsinki
2021-08-07,261,Finland,Helsinki
2021-08-08,311,Finland,Helsinki
2021-08-09,493,Finland,Helsinki
2021-08-10,495,Finland,Helsinki
2021-08-11,472,Finland,Helsinki
2021-08-12,411,Finland,Helsinki
2021-08-13,399,Finland,Helsinki
2021-08-14,233,Finland,Helsinki
2021-08-15,292,Finland,Helsinki
2021-08-16,375,Finland,Helsinki
2021-08-17,393,Finland,Helsinki
2021-08-18,361,Finland,Helsinki
2021-08-19,334,Finland,Helsinki
2021-08-20,347,Finland,Helsinki
2021-08-21,224,Finland,Helsinki
2021-08-22,267,Finland,Helsinki
2021-08-23,345,Finland,Helsinki
2021-08-24,330,Finland,Helsinki
2021-08-25,364,Finland,Helsinki
2021-08-26,303,Finland,Helsinki
2021-08-27,373,Finland,Helsinki
2021-08-28,251,Finland,Helsinki
2021-08-29,258,Finland,Helsinki
2021-08-30,353,Finland,Helsinki
2021-08-31,353,Finland,Helsinki
2021-09-01,331,Finland,Helsinki
2021-09-02,334,Finland,Helsinki
2021-09-03,252,Finland,Helsinki
2021-09-04,163,Finland,Helsinki
2021-09-05,173,Finland,Helsinki
2021-09-06,256,Finland,Helsinki
2021-09-07,257,Finland,Helsinki
2021-09-08,189,Finland,Helsinki
2021-09-09,205,Finland,Helsinki
2021-09-10,205,Finland,Helsinki
2021-09-11,164,Finland,Helsinki
2021-09-12,126,Finland,Helsinki
2021-09-13,213,Finland,Helsinki
2021-09-14,192,Finland,Helsinki
2021-09-15,162,Finland,Helsinki
2021-09-16,186,Finland,Helsinki
2021-09-17,142,Finland,Helsinki
2021-09-18,107,Finland,Helsinki
2021-09-19,118,Finland,Helsinki
2021-09-20,190,Finland,Helsinki
2021-09-21,165,Finland,Helsinki
2021-09-22,173,Finland,Helsinki
2021-09-23,164,Finland,Helsinki
2021-09-24,146,Finland,Helsinki
2021-09-25,129,Finland,Helsinki
2021-09-26,148,Finland,Helsinki
2021-09-27,221,Finland,Helsinki
2021-09-28,230,Finland,Helsinki
2021-09-29,251,Finland,Helsinki
2021-09-30,239,Finland,Helsinki
2021-10-01,188,Finland,Helsinki
2021-10-02,142,Finland,Helsinki
2021-10-03,164,Finland,Helsinki
2021-10-04,257,Finland,Helsinki
2021-10-05,310,Finland,Helsinki
2021-10-06,235,Finland,Helsinki
2021-10-07,191,Finland,Helsinki
2021-10-08,210,Finland,Helsinki
2021-10-09,148,Finland,Helsinki
2021-10-10,150,Finland,Helsinki
2021-10-11,226,Finland,Helsinki
2021-10-12,265,Finland,Helsinki
2021-10-13,232,Finland,Helsinki
2021-10-14,241,Finland,Helsinki
2021-10-15,239,Finland,Helsinki
2021-10-16,151,Finland,Helsinki
2021-10-17,160,Finland,Helsinki
2021-10-18,266,Finland,Helsinki
2021-10-19,229,Finland,Helsinki
2021-10-20,211,Finland,Helsinki
2021-10-21,273,Finland,Helsinki
2021-10-22,257,Finland,Helsinki
2021-10-23,178,Finland,Helsinki
2021-10-24,224,Finland,Helsinki
2021-10-25,348,Finland,Helsinki
2021-10-26,286,Finland,Helsinki
2021-10-27,254,Finland,Helsinki
2021-10-28,261,Finland,Helsinki
2021-10-29,270,Finland,Helsinki
2021-10-30,185,Finland,Helsinki
2021-10-31,216,Finland,Helsinki
2021-11-01,375,Finland,Helsinki
2021-11-02,328,Finland,Helsinki
2021-11-03,292,Finland,Helsinki
2021-11-04,293,Finland,Helsinki
2021-11-05,315,Finland,Helsinki
2021-11-06,246,Finland,Helsinki
2021-11-07,265,Finland,Helsinki
2021-11-08,424,Finland,Helsinki
2021-11-09,376,Finland,Helsinki
2021-11-10,365,Finland,Helsinki
2021-11-11,374,Finland,Helsinki
2021-11-12,371,Finland,Helsinki
2021-11-13,280,Finland,Helsinki
2021-11-14,254,Finland,Helsinki
2021-11-15,444,Finland,Helsinki
2021-11-16,429,Finland,Helsinki
2021-11-17,448,Finland,Helsinki
2021-11-18,453,Finland,Helsinki
2021-11-19,482,Finland,Helsinki
2021-11-20,290,Finland,Helsinki
2021-11-21,336,Finland,Helsinki
2021-11-22,498,Finland,Helsinki
2021-11-23,519,Finland,Helsinki
2021-11-24,424,Finland,Helsinki
2021-11-25,443,Finland,Helsinki
2021-11-26,461,Finland,Helsinki
2021-11-27,329,Finland,Helsinki
2021-11-28,365,Finland,Helsinki
2021-11-29,557,Finland,Helsinki
2021-11-30,569,Finland,Helsinki
2021-12-01,537,Finland,Helsinki
2021-12-02,504,Finland,Helsinki
2021-12-03,517,Finland,Helsinki
2021-12-04,352,Finland,Helsinki
2021-12-05,415,Finland,Helsinki
2021-12-06,456,Finland,Helsinki
2021-12-07,621,Finland,Helsinki
2021-12-08,637,Finland,Helsinki
2021-12-09,673,Finland,Helsinki
2021-12-10,712,Finland,Helsinki
2021-12-11,495,Finland,Helsinki
2021-12-12,588,Finland,Helsinki
2021-12-13,894,Finland,Helsinki
2021-12-14,831,Finland,Helsinki
2021-12-15,962,Finland,Helsinki
2021-12-16,925,Finland,Helsinki
2021-12-17,1025,Finland,Helsinki
2021-12-18,947,Finland,Helsinki
2021-12-19,1091,Finland,Helsinki
2021-12-20,1620,Finland,Helsinki
2021-12-21,1786,Finland,Helsinki
2021-12-22,2014,Finland,Helsinki
2021-12-23,2317,Finland,Helsinki
2021-12-24,1490,Finland,Helsinki
2021-12-25,1685,Finland,Helsinki
2021-12-26,1982,Finland,Helsinki
2021-12-27,4042,Finland,Helsinki
2021-12-28,4122,Finland,Helsinki
2021-12-29,4229,Finland,Helsinki
2021-12-30,4032,Finland,Helsinki
2021-12-31,3906,Finland,Helsinki
2022-01-01,2365,Finland,Helsinki
2022-01-02,2904,Finland,Helsinki
2022-01-03,4918,Finland,Helsinki
